GameState,PossibleArrows,WinProb,TieProb
109951178506240,2;3;5;6;7;8;10;13;14;15;16;19;21;22;23;32;34;35;37;38;40;42;43;46;47;48;50;51;53;55;,1,0
109951178768384,2;3;4;6;7;8;10;12;14;15;16;19;20;22;23;32;34;35;38;39;40;42;43;44;46;48;50;51;52;55;,1,0
109951179030528,2;3;4;5;7;8;10;12;13;15;16;19;20;21;23;32;34;35;37;39;40;42;43;44;47;48;50;51;52;53;,1,0
116596400240061,,0,0
116596500903351,,0,1
116595477493120,55;61;,0,1
116596366685694,,1,0
116596517680629,,1,0
116595477493184,53;62;,1,0
116595477495104,23;62;,1,0
116595477495232,22;61;,1,0
116595477495616,22;55;,1,0
116595477495680,23;53;,1,0
116598547723644,,0,0
116598631609719,,0,0
116597624976704,55;60;,0,1
116598497392125,,0,0
116598648387060,,0,0
116597624976832,52;61;,0,1
116597624978688,23;61;,1,0
116597624978880,21;60;,0,1
116597624979200,21;55;,0,1
116597624979264,23;52;,1,0
116599571133822,,1,0
116599738905972,,0,1
116598698718528,52;62;,1,0
116599587911100,,0,0
116599705351605,,1,0
116598698718592,53;60;,1,0
116598698720512,21;62;,1,0
116598698720576,22;60;,1,0
116598698721024,22;53;,1,0
116598698721152,21;52;,1,0
116605107615087,,0,1
116604067427648,47;62;,1,0
116605090837998,,0,1
116604067427776,46;61;,0,1
116604067429248,23;61;,1,0
116604067429312,21;62;,1,0
116604067430208,23;46;,1,0
116604067430272,21;47;,1,0
116606147802543,,0,1
116605141169536,47;60;,0,1
116606181357036,,1,0
116605141169600,44;62;,1,0
116605141170944,23;62;,1,0
116605141171136,22;60;,1,0
116605141171968,22;47;,1,0
116605141172096,23;44;,1,0
116608295286126,,0,0
116607288653120,46;60;,0,1
116608312063404,,0,1
116607288653184,44;61;,0,1
116607288654592,22;61;,1,0
116607288654720,21;60;,0,1
116607288655616,21;46;,0,1
116607288655680,22;44;,1,0
116612657362240,46;55;,0,1
116612657362304,47;53;,1,0
116612657363840,21;55;,1,0
116612657363904,22;53;,1,0
116612657364288,22;47;,1,0
116612657364416,21;46;,1,0
116613731104128,44;55;,0,1
116613731104192,46;52;,0,1
116613731105536,22;55;,1,0
116613731105664,23;52;,1,0
116613731106048,23;46;,1,0
116613731106240,22;44;,1,0
116614804845888,47;52;,0,1
116614804846016,44;53;,1,0
116614804847360,23;53;,1,0
116614804847552,21;52;,1,0
116614804847872,21;47;,1,0
116614804847936,23;44;,1,0
116548232851456,21;22;23;44;46;47;52;53;55;60;61;62;,1,0
116595326506428,,0,0
116595410392503,,0,1
116594403759488,55;60;,0,1
116595276174846,,1,0
116595443946996,,0,1
116594403759552,52;62;,1,0
116594403761408,23;62;,1,0
116594403761600,22;60;,1,0
116594403761920,22;55;,1,0
116594403762048,23;52;,1,0
116598547731771,,0,0
116598614840631,,0,0
116597624984832,55;59;,0,1
116598480623100,,0,0
116598631618035,,0,0
116597624985024,51;60;,0,1
116597624986816,23;60;,0,1
116597624987072,20;59;,0,1
116597624987328,20;55;,0,1
116597624987392,23;51;,0,1
116599554364734,,1,0
116599738914099,,0,0
116598698726656,51;62;,1,0
116599571142075,,0,0
