GameState,PossibleArrows,WinProb,TieProb
95378345259008,1;6;10;14;33;34;,0.5,0.5
95367607848960,4;7;12;14;38;39;,1,0
95369755332608,6;7;10;14;34;39;,1,0
95372976558080,4;6;10;12;34;38;,1,0
95366534111232,4;6;12;15;38;39;,1,0
95369755336704,1;6;14;15;33;39;,1,0
95372976562176,1;4;12;14;33;38;,1,0
95366534119424,6;7;10;15;34;38;,1,0
95367607861248,1;7;14;15;33;38;,1,0
95372976570368,1;6;10;14;33;34;,1,0
95366534127616,4;7;10;12;34;39;,0,1
95367607869440,1;4;12;15;33;39;,0,1
95369755353088,1;7;10;15;33;34;,0.5,0.5
95313920524288,1;4;6;7;10;12;14;15;33;34;38;39;49;50;52;55;57;58;60;62;,1,0
95436327227392,6;7;11;15;59;62;,0.5,0.5
95437400969216,2;7;14;15;58;62;,1,0
95441695936512,2;6;11;14;58;59;,1,0
95444917161984,6;7;11;14;51;55;,1,0
95445990903808,2;6;14;15;50;55;,1,0
95449212129280,2;7;11;15;50;51;,1,0
95435253493760,6;7;10;15;58;62;,0,1
95436327235584,1;7;14;15;57;62;,0,1
95441695944704,1;6;10;14;57;58;,0.5,0.5
95443843428352,6;7;10;14;50;55;,0,1
95444917170176,1;6;14;15;49;55;,0,1
95449212137472,1;7;10;15;49;50;,0.5,0.5
95435253506048,2;7;11;15;58;59;,0.5,0.5
95437400989696,1;7;10;15;57;58;,0.5,0.5
95441695956992,1;2;10;11;57;59;,1,0
95443843440640,2;7;10;11;51;55;,0.5,0.5
95444917182464,1;7;11;15;49;51;,0.5,0.5
95445990924288,1;2;10;15;49;55;,1,0
95435253510144,2;6;10;11;59;62;,0.5,0.5
95436327251968,1;6;11;14;57;59;,0.5,0.5
95437400993792,1;2;10;14;57;62;,1,0
95443843444736,2;6;11;14;50;51;,0.5,0.5
95445990928384,1;6;10;14;49;50;,0.5,0.5
95449212153856,1;2;10;11;49;51;,1,0
95444917227520,6;7;11;15;35;38;,1,0
95445990969344,2;6;10;15;38;39;,1,0
95449212194816,2;7;10;11;35;39;,1,0
95443843489792,6;7;11;14;35;39;,1,0
95445990973440,1;6;14;15;33;39;,1,0
95449212198912,1;7;11;15;33;35;,1,0
95443843493888,2;7;10;14;38;39;,1,0
95444917235712,1;7;14;15;33;38;,1,0
95449212203008,1;2;10;15;33;39;,1,0
95443843510272,2;6;10;11;35;38;,0,1
95444917252096,1;6;11;14;33;35;,0.5,0.5
95445990993920,1;2;10;14;33;38;,1,0
95436327325696,6;7;11;14;35;39;,1,0
95437401067520,2;7;10;14;38;39;,1,0
95441696034816,2;6;10;11;35;38;,1,0
95435253587968,6;7;11;15;35;38;,1,0
95437401071616,1;7;14;15;33;38;,1,0
95441696038912,1;6;11;14;33;35;,1,0
95435253592064,2;6;10;15;38;39;,1,0
95436327333888,1;6;14;15;33;39;,1,0
95441696043008,1;2;10;14;33;38;,1,0
95435253604352,2;7;10;11;35;39;,0,1
95436327346176,1;7;11;15;33;35;,0,1
95437401088000,1;2;10;15;33;39;,0,1
95382640001024,1;2;6;7;10;11;14;15;33;35;38;39;49;50;51;55;57;58;59;62;,0.958333,0.0416667
95574839922688,4;7;10;15;58;60;,1,0
95575913664512,2;7;11;15;58;59;,1,0
95579134889984,2;4;10;11;59;60;,1,0
95582356115456,4;7;11;15;51;52;,1,0
